date,close,high,low,open,volume,stock_name,ticker,daily_return_pct,price_range
2024-11-01,1710.24,1715.24,1701.69,1713.78,371966,Infosys,INFY.NS,0.2,13.55
2024-11-04,1712.96,1716.21,1668.62,1674.93,7336722,Infosys,INFY.NS,0.16,47.59
2024-11-05,1703.78,1717.62,1694.84,1709.41,3160880,Infosys,INFY.NS,-0.54,22.78
2024-11-06,1771.28,1774.68,1711.99,1713.3,10421494,Infosys,INFY.NS,3.96,62.69
2024-11-07,1751.22,1773.22,1735.64,1760.84,4550965,Infosys,INFY.NS,-1.13,37.59
2024-11-08,1777.35,1787.69,1761.03,1765.74,4210960,Infosys,INFY.NS,1.49,26.66
2024-11-11,1806.63,1814.31,1770.16,1776.43,3804234,Infosys,INFY.NS,1.65,44.14
2024-11-12,1815.08,1826.93,1807.51,1817.32,5012450,Infosys,INFY.NS,0.47,19.43
2024-11-13,1814.7,1819.36,1802.94,1807.61,4257495,Infosys,INFY.NS,-0.02,16.41
2024-11-14,1810.96,1822.08,1802.65,1811.98,4311431,Infosys,INFY.NS,-0.21,19.43
2024-11-18,1759.38,1796.05,1743.41,1796.05,4839244,Infosys,INFY.NS,-2.85,52.64
2024-11-19,1772.3,1806.25,1768.22,1773.03,4669769,Infosys,INFY.NS,0.73,38.02
2024-11-21,1781.33,1813.34,1768.27,1789.05,5436504,Infosys,INFY.NS,0.51,45.07
2024-11-22,1847.57,1859.03,1781.28,1800.81,6301486,Infosys,INFY.NS,3.72,77.75
2024-11-25,1835.38,1864.13,1827.9,1860.93,12764638,Infosys,INFY.NS,-0.66,36.23
2024-11-26,1868.84,1882.88,1842.76,1850.19,6850495,Infosys,INFY.NS,1.82,40.11
2024-11-27,1869.18,1885.6,1856.8,1874.62,4447143,Infosys,INFY.NS,0.02,28.8
2024-11-28,1803.28,1859.86,1798.43,1859.86,8468790,Infosys,INFY.NS,-3.53,61.43
2024-11-29,1804.45,1823.05,1791.97,1797.89,5244346,Infosys,INFY.NS,0.06,31.08
2024-12-02,1825.77,1828.68,1782.45,1805.57,2868263,Infosys,INFY.NS,1.18,46.23
2024-12-03,1837.71,1845.14,1817.37,1832.76,4715792,Infosys,INFY.NS,0.65,27.78
2024-12-04,1834.95,1858.94,1821.11,1829.85,4705573,Infosys,INFY.NS,-0.15,37.83
2024-12-05,1879.24,1893.85,1834.65,1845.39,9050038,Infosys,INFY.NS,2.41,59.2
2024-12-06,1867.14,1882.25,1857.43,1877.24,3573331,Infosys,INFY.NS,-0.64,24.82
2024-12-09,1868.36,1874.72,1842.67,1868.89,4274645,Infosys,INFY.NS,0.07,32.05
2024-12-10,1892.54,1909.1,1876.47,1883.27,6174921,Infosys,INFY.NS,1.29,32.63
2024-12-11,1917.41,1921.14,1895.89,1898.81,5025612,Infosys,INFY.NS,1.31,25.25
2024-12-12,1929.89,1941.35,1913.91,1918.43,6462130,Infosys,INFY.NS,0.65,27.44
2024-12-13,1942.22,1948.78,1897.64,1913.13,5362693,Infosys,INFY.NS,0.64,51.14
2024-12-16,1923.14,1942.12,1920.76,1938.09,3119221,Infosys,INFY.NS,-0.98,21.37
2024-12-17,1919.79,1925.03,1901.72,1911.43,5811050,Infosys,INFY.NS,-0.17,23.31
2024-12-18,1922.26,1927.9,1905.22,1910.27,3064095,Infosys,INFY.NS,0.13,22.68
2024-12-19,1890.26,1903.42,1864.81,1878.41,5323592,Infosys,INFY.NS,-1.66,38.61
2024-12-20,1866.9,1923.04,1856.31,1918.38,11056720,Infosys,INFY.NS,-1.24,66.73
2024-12-23,1868.99,1884.24,1854.13,1874.57,2781793,Infosys,INFY.NS,0.11,30.11
2024-12-24,1854.18,1886.18,1787.11,1871.66,2360544,Infosys,INFY.NS,-0.79,99.07
2024-12-26,1852.57,1864.57,1847.62,1854.18,3623321,Infosys,INFY.NS,-0.09,16.95
2024-12-27,1861.66,1868.84,1849.17,1854.52,3937500,Infosys,INFY.NS,0.49,19.67
2024-12-30,1851.21,1860.93,1832.27,1860.64,7789055,Infosys,INFY.NS,-0.56,28.65
2024-12-31,1825.96,1842.47,1792.02,1837.91,3613063,Infosys,INFY.NS,-1.36,50.46
