date,close,high,low,open,volume,stock_name,ticker,daily_return_pct,price_range
2024-12-02,4059.1,4070.06,4014.87,4052.79,1670944,TCS,TCS.NS,0.14,55.19
2024-12-03,4083.87,4104.99,4048.47,4094.88,2010905,TCS,TCS.NS,0.61,56.52
2024-12-04,4132.89,4163.79,4070.87,4094.12,3302642,TCS,TCS.NS,1.2,92.92
2024-12-05,4236.97,4260.65,4138.21,4176.93,3746747,TCS,TCS.NS,2.52,122.44
2024-12-06,4219.36,4237.87,4188.28,4226.48,1842087,TCS,TCS.NS,-0.42,49.59
2024-12-09,4225.67,4242.04,4190.93,4205.08,2066639,TCS,TCS.NS,0.15,51.11
2024-12-10,4207.07,4265.2,4187.66,4201.0,2087828,TCS,TCS.NS,-0.44,77.54
2024-12-11,4202.23,4222.35,4182.82,4206.41,1635256,TCS,TCS.NS,-0.12,39.53
2024-12-12,4228.33,4256.85,4200.85,4204.7,1914642,TCS,TCS.NS,0.62,56.0
2024-12-13,4246.32,4266.25,4170.86,4209.35,1967048,TCS,TCS.NS,0.43,95.39
2024-12-16,4190.6,4247.36,4173.33,4232.17,1646224,TCS,TCS.NS,-1.31,74.03
2024-12-17,4108.31,4207.45,4098.35,4185.67,3225027,TCS,TCS.NS,-1.96,109.1
2024-12-18,4126.68,4140.11,4071.39,4092.37,1575404,TCS,TCS.NS,0.45,68.72
2024-12-19,4054.59,4142.01,4045.19,4064.18,3015763,TCS,TCS.NS,-1.75,96.81
2024-12-20,3958.16,4159.09,3941.26,4108.79,4116989,TCS,TCS.NS,-2.38,217.83
2024-12-23,3946.77,4002.48,3905.58,3986.4,2195338,TCS,TCS.NS,-0.29,96.91
2024-12-24,3966.89,4003.43,3946.77,3946.77,1181886,TCS,TCS.NS,0.51,56.66
2024-12-26,3957.02,3986.3,3932.39,3966.89,1208464,TCS,TCS.NS,-0.25,53.91
2024-12-27,3952.99,3968.27,3936.28,3951.23,858100,TCS,TCS.NS,-0.1,31.99
2024-12-30,3947.24,3985.68,3902.83,3939.84,1527169,TCS,TCS.NS,-0.15,82.86
2024-12-31,3886.5,3929.35,3826.94,3924.66,1555429,TCS,TCS.NS,-1.54,102.41
