date,close,high,low,open,volume,stock_name,ticker,daily_return_pct,price_range
2022-01-03,17625.7,17646.65,17383.3,17387.15,200500,Nifty_50,^NSEI,,263.35
2022-01-04,17805.25,17827.6,17593.55,17681.4,247400,Nifty_50,^NSEI,1.02,234.05
2022-01-05,17925.25,17944.7,17748.85,17820.1,251500,Nifty_50,^NSEI,0.67,195.85
2022-01-06,17745.9,17797.95,17655.55,17768.5,236500,Nifty_50,^NSEI,-1.0,142.4
2022-01-07,17812.7,17905.0,17704.55,17797.6,239300,Nifty_50,^NSEI,0.38,200.45
2022-01-10,18003.3,18017.45,17879.15,17913.3,232400,Nifty_50,^NSEI,1.07,138.3
2022-01-11,18055.75,18081.25,17964.4,17997.75,220200,Nifty_50,^NSEI,0.29,116.85
2022-01-12,18212.35,18227.95,18128.8,18170.4,245000,Nifty_50,^NSEI,0.87,99.15
2022-01-13,18257.8,18272.25,18163.8,18257.0,303700,Nifty_50,^NSEI,0.25,108.45
2022-01-14,18255.75,18286.95,18119.65,18185.0,229500,Nifty_50,^NSEI,-0.01,167.3
2022-01-17,18308.1,18321.55,18228.75,18235.65,266700,Nifty_50,^NSEI,0.29,92.8
2022-01-18,18113.05,18350.95,18085.9,18337.2,227500,Nifty_50,^NSEI,-1.07,265.05
2022-01-19,17938.4,18129.2,17884.9,18129.2,276700,Nifty_50,^NSEI,-0.96,244.3
2022-01-20,17757.0,17943.7,17648.45,17921.0,258100,Nifty_50,^NSEI,-1.01,295.25
2022-01-21,17617.15,17707.6,17485.85,17613.7,277600,Nifty_50,^NSEI,-0.79,221.75
2022-01-24,17149.1,17599.4,16997.85,17575.15,323800,Nifty_50,^NSEI,-2.66,601.55
2022-01-25,17277.95,17309.15,16836.8,17001.55,326500,Nifty_50,^NSEI,0.75,472.35
2022-01-27,17110.15,17182.5,16866.75,17062.0,395600,Nifty_50,^NSEI,-0.97,315.75
2022-01-28,17101.95,17373.5,17077.1,17208.3,355300,Nifty_50,^NSEI,-0.05,296.4
2022-01-31,17339.85,17410.0,17264.15,17301.05,321700,Nifty_50,^NSEI,1.39,145.85
2022-02-01,17576.85,17622.4,17244.55,17529.45,386400,Nifty_50,^NSEI,1.37,377.85
2022-02-02,17780.0,17794.6,17674.8,17706.2,271200,Nifty_50,^NSEI,1.16,119.8
2022-02-03,17560.2,17781.15,17511.15,17767.75,226600,Nifty_50,^NSEI,-1.24,270.0
2022-02-04,17516.3,17617.8,17462.55,17590.2,261400,Nifty_50,^NSEI,-0.25,155.25
2022-02-07,17213.6,17536.75,17119.4,17456.3,265000,Nifty_50,^NSEI,-1.73,417.35
2022-02-08,17266.75,17306.45,17043.65,17279.85,268500,Nifty_50,^NSEI,0.31,262.8
2022-02-09,17463.8,17477.15,17339.0,17370.1,236400,Nifty_50,^NSEI,1.14,138.15
2022-02-10,17605.85,17639.45,17427.15,17554.1,273600,Nifty_50,^NSEI,0.81,212.3
2022-02-11,17374.75,17454.75,17303.0,17451.0,253100,Nifty_50,^NSEI,-1.31,151.75
2022-02-14,16842.8,17099.5,16809.65,17076.15,305500,Nifty_50,^NSEI,-3.06,289.85
2022-02-15,17352.45,17375.0,16839.25,16933.25,298700,Nifty_50,^NSEI,3.03,535.75
2022-02-16,17322.2,17490.6,17257.7,17408.45,244500,Nifty_50,^NSEI,-0.17,232.9
2022-02-17,17304.6,17442.9,17235.85,17396.55,232100,Nifty_50,^NSEI,-0.1,207.05
2022-02-18,17276.3,17380.8,17219.2,17236.05,189600,Nifty_50,^NSEI,-0.16,161.6
2022-02-21,17206.65,17351.05,17070.7,17192.25,215200,Nifty_50,^NSEI,-0.4,280.35
2022-02-22,17092.2,17148.55,16843.8,16847.95,300100,Nifty_50,^NSEI,-0.67,304.75
2022-02-23,17063.25,17220.7,17027.85,17194.5,200200,Nifty_50,^NSEI,-0.17,192.85
2022-02-24,16247.95,16705.25,16203.25,16548.9,458000,Nifty_50,^NSEI,-4.78,502.0
2022-02-25,16658.4,16748.8,16478.3,16515.65,329800,Nifty_50,^NSEI,2.53,270.5
2022-02-28,16793.9,16815.9,16356.3,16481.6,404200,Nifty_50,^NSEI,0.81,459.6
2022-03-02,16605.95,16678.5,16478.65,16593.1,517700,Nifty_50,^NSEI,-1.12,199.85
2022-03-03,16498.05,16768.95,16442.95,16723.2,442100,Nifty_50,^NSEI,-0.65,326.0
2022-03-04,16245.35,16456.0,16133.8,16339.45,456100,Nifty_50,^NSEI,-1.53,322.2
2022-03-07,15863.15,15944.6,15711.45,15867.95,585400,Nifty_50,^NSEI,-2.35,233.15
