date,Close,High,Low,Open,Volume,stock_name,ticker
2022-01-03,3386.357666015625,3397.2234590635435,3321.8281603636997,3326.2631779342787,2346158,TCS,TCS.NS
2022-01-04,3445.786865234375,3449.6895940340164,3380.991215898721,3398.199213823808,2488606,TCS,TCS.NS
2022-01-05,3424.67626953125,3432.703694867435,3381.6122044154104,3428.2686771738076,1733031,TCS,TCS.NS
2022-01-06,3377.221435546875,3401.658425302727,3345.777204756685,3381.257344785918,1810293,TCS,TCS.NS
2022-01-07,3418.068603515625,3428.1803586173028,3367.4206079125356,3388.353980908184,2460591,TCS,TCS.NS
2022-01-10,3441.44091796875,3528.500232508882,3424.7208139056797,3528.500232508882,3937092,TCS,TCS.NS
2022-01-11,3473.417236328125,3481.4890555369284,3420.2858084459604,3420.2858084459604,1906106,TCS,TCS.NS
2022-01-12,3423.74462890625,3485.0366556927033,3403.033227682781,3481.488641790242,3203744,TCS,TCS.NS
2022-01-13,3457.450927734375,3479.7148026675522,3421.1725704534156,3475.2797850755724,6684507,TCS,TCS.NS
2022-01-14,3519.76318359375,3527.6132519299485,3423.8782261400397,3439.6669332386305,3348123,TCS,TCS.NS
2022-01-17,3565.0,3586.1551199160176,3514.573981387204,3541.538800935803,3442604,TCS,TCS.NS
2022-01-18,3539.67626953125,3585.002018651542,3530.2739457678194,3578.1277414958386,2389041,TCS,TCS.NS
2022-01-19,3478.41015625,3564.9117788335907,3474.7227096532292,3564.9117788335907,3102539,TCS,TCS.NS
2022-01-20,3400.1279296875,3483.1640287722967,3386.310743278373,3474.2784062499186,6176776,TCS,TCS.NS
2022-01-21,3406.303466796875,3422.342059179579,3350.8572678451856,3382.7565666090263,3112358,TCS,TCS.NS
2022-01-24,3351.0791015625,3420.6533474824882,3323.311533128875,3412.078809123836,3258414,TCS,TCS.NS
2022-01-25,3349.790283203125,3384.888487297155,3307.4059130384235,3349.434945125185,3330501,TCS,TCS.NS
2022-01-27,3242.585205078125,3317.3576181352228,3221.1265173905385,3315.225155894084,5718297,TCS,TCS.NS
2022-01-28,3278.839111328125,3314.1594600905173,3239.6979015769352,3239.6979015769352,3143862,TCS,TCS.NS
2022-01-31,3319.890380859375,3339.216607900845,3306.695145967757,3331.219548435409,2739393,TCS,TCS.NS
2022-02-01,3377.114013671875,3383.6450329539907,3320.023889363237,3349.8796676041347,2105169,TCS,TCS.NS
2022-02-02,3426.473388671875,3433.4042169687295,3377.1137168552855,3401.3270359319927,1984212,TCS,TCS.NS
2022-02-03,3398.394775390625,3449.842435432575,3390.7975258678207,3421.8527286158005,1960538,TCS,TCS.NS
