date,Close,High,Low,Open,Volume,stock_name,ticker
2022-01-03,722.8026123046875,724.3959864801699,704.18139066572,706.3217596343088,9069184,HDFC,HDFCBANK.NS
2022-01-04,727.0357055664062,729.1047170271323,717.1662276895983,722.9689818191866,8857352,HDFC,HDFCBANK.NS
2022-01-05,744.3013916015625,747.7022116190719,726.8217120360403,730.9597934637957,14332638,HDFC,HDFCBANK.NS
2022-01-06,732.3629150390625,739.4974782639925,727.7492540447641,733.9087370711308,9628930,HDFC,HDFCBANK.NS
2022-01-07,737.4998168945312,745.20512188097,730.5317152643793,734.3843677575986,11179384,HDFC,HDFCBANK.NS
2022-01-10,741.5902709960938,747.7022016813078,735.0978070600898,741.0432762210418,8856496,HDFC,HDFCBANK.NS
2022-01-11,744.8008422851562,746.1325925725578,736.191814344952,742.7318305795472,8389198,HDFC,HDFCBANK.NS
2022-01-12,740.4011840820312,749.9139348284391,738.1894579212469,745.7996585183731,21085530,HDFC,HDFCBANK.NS
2022-01-13,726.7740478515625,739.6162594300914,723.1592147231823,739.6162594300914,41963896,HDFC,HDFCBANK.NS
2022-01-14,734.9313354492188,736.619813831022,722.493402522968,727.7254153127986,11208968,HDFC,HDFCBANK.NS
2022-01-17,723.6824340820312,740.0919273293728,722.5646976035137,727.7253527081879,22989372,HDFC,HDFCBANK.NS
2022-01-18,727.36865234375,737.6662159084163,724.3959179463994,729.1522929821604,12341152,HDFC,HDFCBANK.NS
2022-01-19,722.2317504882812,732.3628526288228,719.8060108107658,729.6279369589961,14317626,HDFC,HDFCBANK.NS
2022-01-20,717.7369995117188,727.0119309169397,713.5038140786304,726.9881258170541,15197846,HDFC,HDFCBANK.NS
2022-01-21,723.72998046875,727.6302426550222,706.6070311292943,713.4562224773198,11537694,HDFC,HDFCBANK.NS
2022-01-24,707.1065673828125,723.5636148158452,698.0219018920284,718.1888873366842,11868508,HDFC,HDFCBANK.NS
2022-01-25,707.7723999023438,711.0780572785832,686.8205449567051,693.7886458927823,13594248,HDFC,HDFCBANK.NS
2022-01-27,701.54150390625,706.321683981928,682.5398091003816,689.6743715648455,28617838,HDFC,HDFCBANK.NS
2022-01-28,695.9765625,707.1302385002696,694.4307406458227,702.7543967837006,24925208,HDFC,HDFCBANK.NS
2022-01-31,706.6546630859375,709.4371891168743,697.6651601162798,700.4951802272873,12842546,HDFC,HDFCBANK.NS
2022-02-01,712.0293579101562,721.542108182837,700.8280712395866,717.4991893169476,14739484,HDFC,HDFCBANK.NS
2022-02-02,728.296142578125,730.1035883666477,716.1198337589774,719.1401203787386,13969290,HDFC,HDFCBANK.NS
2022-02-03,720.7572631835938,732.457933895551,717.7369767162163,727.1308172000766,10564762,HDFC,HDFCBANK.NS
2022-02-04,724.87158203125,729.0809624800141,720.1627589609288,726.9643987359728,11579958,HDFC,HDFCBANK.NS
