date,Close,High,Low,Open,Volume,stock_name,ticker
2022-01-03,1093.7806396484375,1095.6462506930534,1075.4437086416906,1076.1034905748938,5421611,Reliance,RELIANCE.NS
2022-01-04,1118.465087890625,1119.7846517979926,1093.848914455948,1099.2636517956478,10847728,Reliance,RELIANCE.NS
2022-01-05,1123.6976318359375,1127.0647821675334,1107.021469888781,1120.2396140596422,11643813,Reliance,RELIANCE.NS
2022-01-06,1099.53662109375,1116.5996031111947,1096.123976548564,1115.3255331004264,14447422,Reliance,RELIANCE.NS
2022-01-07,1108.4091796875,1118.4421482661342,1097.284116906681,1106.11137689842,13112115,Reliance,RELIANCE.NS
2022-01-10,1109.3193359375,1117.9646215781718,1099.3318598320666,1115.6895654128748,9246731,Reliance,RELIANCE.NS
2022-01-11,1117.3048095703125,1126.1319502273575,1107.9542483452858,1108.409307707792,16205164,Reliance,RELIANCE.NS
2022-01-12,1147.1307373046875,1148.8826135216357,1121.6045672988503,1124.4711644227355,14800442,Reliance,RELIANCE.NS
2022-01-13,1153.5919189453125,1156.185552589028,1141.3521345231045,1147.199063341914,11856712,Reliance,RELIANCE.NS
2022-01-14,1155.275390625,1168.1522095010407,1149.2919803342058,1153.4553940360954,19930176,Reliance,RELIANCE.NS
2022-01-17,1161.304443359375,1167.105878804206,1154.3655399895374,1154.8205993720844,8036453,Reliance,RELIANCE.NS
2022-01-18,1147.449462890625,1165.9001302656584,1144.6966001621126,1162.4421119945257,6215029,Reliance,RELIANCE.NS
2022-01-19,1147.3582763671875,1156.6404758295853,1141.6250823732196,1151.1803655784236,9755485,Reliance,RELIANCE.NS
2022-01-20,1127.2696533203125,1142.0575796806486,1117.0545865844654,1137.5529609143537,16494486,Reliance,RELIANCE.NS
2022-01-21,1127.4515380859375,1138.5538554378697,1115.6895591579548,1115.6895591579548,13338594,Reliance,RELIANCE.NS
2022-01-24,1081.97314453125,1139.6914253053906,1071.5988501296624,1126.1547030087693,21868937,Reliance,RELIANCE.NS
2022-01-25,1079.8572998046875,1086.8644436444313,1048.802657948011,1069.0734401117095,24510205,Reliance,RELIANCE.NS
2022-01-27,1063.8636474609375,1072.053874198635,1051.5556205791781,1062.9081551085756,20020431,Reliance,RELIANCE.NS
2022-01-28,1062.8397216796875,1081.0629157010064,1059.4499449788068,1076.103358864866,14667727,Reliance,RELIANCE.NS
2022-01-31,1085.931640625,1094.9408766634326,1072.0992089277,1073.9193259070898,12143683,Reliance,RELIANCE.NS
2022-02-01,1082.3370361328125,1101.4019884840088,1067.958677458383,1095.668914786197,13200509,Reliance,RELIANCE.NS
2022-02-02,1084.5439453125,1095.2139504085303,1080.6991087798986,1095.2139504085303,10017691,Reliance,RELIANCE.NS
2022-02-03,1070.529541015625,1092.6886822523618,1068.0042683536662,1088.3887863228124,9572839,Reliance,RELIANCE.NS
2022-02-04,1060.7694091796875,1068.5729364671636,1056.1283095273284,1065.1830393454286,11061241,Reliance,RELIANCE.NS
2022-02-07,1054.308349609375,1072.3723159767667,1048.8026250078512,1065.638135750538,10714467,Reliance,RELIANCE.NS
2022-02-08,1072.031005859375,1073.8283759531457,1051.0776952115107,1060.4737500675897,12060849,Reliance,RELIANCE.NS
2022-02-09,1084.5211181640625,1086.204633140618,1072.918368570495,1078.901658786714,11486225,Reliance,RELIANCE.NS
2022-02-10,1083.4063720703125,1090.0721909727154,1076.1488917844267,1090.0721909727154,12464491,Reliance,RELIANCE.NS
2022-02-11,1081.2906494140625,1084.976257286365,1066.5937118273357,1079.857350777376,15943370,Reliance,RELIANCE.NS
2022-02-14,1064.0684814453125,1071.5306852913075,1052.4428632313213,1064.841998172486,10719633,Reliance,RELIANCE.NS
2022-02-15,1100.1964111328125,1102.9037798370225,1062.7716573911962,1069.824295697398,11212671,Reliance,RELIANCE.NS
2022-02-16,1097.92138671875,1107.0443589837334,1090.186219274119,1105.6793011160346,10392840,Reliance,RELIANCE.NS
2022-02-17,1111.8216552734375,1117.008801624326,1096.5787938302476,1101.174399210009,12853252,Reliance,RELIANCE.NS
2022-02-18,1103.131103515625,1117.6914375971696,1101.1972517891083,1112.2313273608688,6775458,Reliance,RELIANCE.NS
2022-02-21,1091.9832763671875,1109.0917498883975,1085.0216268966433,1097.488880416598,11107193,Reliance,RELIANCE.NS
2022-02-22,1087.023681640625,1090.1633625619224,1067.9814753307442,1070.5977356852184,13494914,Reliance,RELIANCE.NS
2022-02-23,1080.2213134765625,1095.0092390254035,1077.468571284383,1092.5294602510214,7310110,Reliance,RELIANCE.NS
2022-02-24,1026.3934326171875,1064.6828130643278,1020.7740927277775,1048.8027920240986,24846650,Reliance,RELIANCE.NS
2022-02-25,1039.2247314453125,1050.1449523145036,1035.7210994030459,1037.4728552470633,14570089,Reliance,RELIANCE.NS
2022-02-28,1073.62353515625,1077.1726610969984,1020.5919703644313,1020.5919703644313,21297446,Reliance,RELIANCE.NS
2022-03-02,1091.3690185546875,1092.4838597770897,1059.8139450476658,1062.2027357830907,21471786,Reliance,RELIANCE.NS
2022-03-03,1082.1551513671875,1098.785820478749,1078.4013026500006,1092.0288927878125,10186748,Reliance,RELIANCE.NS
